timestamp,charger_id,connector_id,status,temperature,voltage,error_count,heartbeat_missing,risk_score,risk_level,incident_created
2026-08-11T08:00:00,CH-001,CON-01,available,31.5,230,0,false,0.0,Low,False
2026-08-11T08:15:00,CH-002,CON-01,charging,42.2,228,0,false,0.0,Low,False
2026-08-11T08:30:00,CH-003,CON-01,faulted,76.8,205,4,true,1.0,High,True
2026-08-11T08:45:00,CH-004,CON-02,charging,48.4,232,1,false,0.05,Low,False
2026-08-11T09:00:00,CH-005,CON-01,offline,28.1,0,2,true,0.45,Low,False
2026-08-11T09:15:00,CH-001,CON-01,charging,45.6,229,0,false,0.0,Low,False
2026-08-11T09:30:00,CH-002,CON-01,faulted,71.4,252,3,false,0.9,High,True
2026-08-11T09:45:00,CH-003,CON-01,faulted,82.3,198,5,true,1.0,High,True
2026-08-11T10:00:00,CH-004,CON-02,available,33.7,231,0,false,0.0,Low,False
2026-08-11T10:15:00,CH-005,CON-01,charging,51.2,227,1,false,0.05,Low,False
2026-08-11T10:30:00,CH-001,CON-01,available,34.1,230,0,false,0.0,Low,False
2026-08-11T10:45:00,CH-002,CON-01,charging,55.8,249,2,false,0.1,Low,False
2026-08-11T11:00:00,CH-003,CON-01,offline,29.5,0,3,true,0.5,Medium,False
2026-08-11T11:15:00,CH-004,CON-02,faulted,74.9,255,4,true,1.0,High,True
2026-08-11T11:30:00,CH-005,CON-01,available,32.8,233,0,false,0.0,Low,False
2026-08-11T11:45:00,CH-001,CON-01,charging,47.3,226,0,false,0.0,Low,False
2026-08-11T12:00:00,CH-002,CON-01,available,35.4,231,0,false,0.0,Low,False
2026-08-11T12:15:00,CH-003,CON-01,faulted,79.6,202,5,true,1.0,High,True
2026-08-11T12:30:00,CH-004,CON-02,charging,49.7,229,1,false,0.05,Low,False
2026-08-11T12:45:00,CH-005,CON-01,offline,27.9,0,2,true,0.45,Low,False
